min_x,min_y,min_z,max_x,max_y,max_z,peaks_x,peaks_y,peaks_z,mean_x,mean_y,mean_z,std_x,std_y,std_z,label
-952,-804,-2040,1000,700,912,5,4,2,-86.16,136.36,-840.72,274.9408,328.2697,868.2608,3
-732,-956,-2040,604,836,1184,0,3,1,-22.88,120.68,-803.5999,275.4395,388.9921,945.5853,3
-644,-1096,-2040,512,712,708,3,0,1,-62.0,110.04,-866.96,229.0233,328.5257,896.9854,3
-752,-564,-2040,444,648,1572,3,1,1,-139.08,9.96,-894.1199,279.5109,275.7068,1026.272,3
-708,-616,-2040,588,516,1496,1,1,4,-83.28,7.4,-868.68,243.6433,225.131,1002.649,3
-820,-564,-2040,864,612,1300,2,0,2,-102.04,-22.24,-944.88,295.1688,260.2044,993.0769,3
-364,-428,-2040,684,400,448,1,1,1,16.16,74.84,-849.56,193.149,211.7895,864.8645,3
-504,-756,-2040,436,560,524,0,0,1,-27.08,104.6,-829.92,201.5578,254.4116,811.872,3
-388,-396,-2040,664,748,520,0,1,2,-34.72,130.56,-886.7599,222.1494,236.4068,832.4854,3
-348,-388,-2040,556,524,800,1,0,1,-27.36,47.92,-933.7199,180.0513,260.2061,946.6884,3
-1080,-480,-2040,536,700,1116,1,1,2,-49.04,62.96,-872.68,232.6781,279.162,956.9226,3
-652,-520,-2040,544,452,708,2,1,0,-24.92,26.24,-922.84,233.3786,258.2137,904.5157,3
-1188,-340,-2040,512,1196,628,0,0,1,-133.48,61.76,-874.52,299.7416,263.1905,920.9545,3
-556,-796,-2040,1160,376,960,2,1,2,282.04,-68.12,-862.1599,394.5786,215.375,936.1038,3
-572,-332,-2040,632,568,856,0,0,2,-98.6,21.32,-925.56,229.8593,174.7703,987.5072,3
-984,-236,-2040,364,968,904,1,0,2,-76.48,52.0,-753.28,252.7179,204.0149,932.7142,3
-556,-476,-2040,596,544,576,0,0,1,-32.52,132.64,-829.88,214.045,225.8309,878.1974,3
-448,-604,-2040,424,532,780,0,1,2,-72.8,135.84,-865.1199,189.944,243.9658,897.0175,3
-496,-448,-2040,560,572,700,0,1,2,-81.4,177.8,-879.56,244.9094,218.5372,774.7011,3
-332,-464,-2040,360,568,500,0,0,1,-62.48,102.12,-888.2,148.0473,218.8292,851.2197,3
-1404,-2040,-2040,1140,1020,2040,3,3,5,44.52,468.52,-569.36,297.003,576.9649,861.1533,4
-524,-1956,-2040,400,1412,2040,1,2,4,-82.68001,406.4,-695.8,181.7718,481.8029,851.835,4
-684,-1488,-2040,500,880,1840,2,4,3,-172.16,382.68,-731.92,203.3329,405.2736,818.5767,4
-1292,-1648,-2040,852,876,2040,2,3,4,-163.52,283.72,-772.32,220.4492,486.1823,849.808,4
-2040,-1588,-2040,788,600,2040,1,3,5,-187.88,189.08,-772.36,327.5726,420.1237,922.8717,4
-1096,-1600,-2040,432,592,1880,3,3,2,-115.24,70.52,-819.96,227.1857,438.4725,958.0496,4
-1640,-1312,-2040,500,800,2020,2,3,5,-87.44,63.04,-816.12,221.6953,422.1814,853.3746,4
-1284,-1900,-2040,736,592,1944,2,2,2,-49.96,51.44,-797.96,223.1824,454.632,926.8316,4
-1680,-2036,-2040,412,468,1844,4,1,3,-106.96,28.72,-846.88,223.3717,496.9312,916.5507,4
-1928,-2040,-2040,636,664,2040,3,3,1,-169.68,72.84,-821.9199,279.2677,440.7242,944.8746,4
